MUNICIPIO,Latitud,Longitud
ACANDI,8.5115155,-77.2790562
AGUADAS,5.613113,-75.4575902
PUERTO BERRIO,6.4899205,-74.4020634
JORDAN,8.3781259,-72.9394336
ORTEGA,3.93806235,-75.25245289094455
GUACHUCAL,0.9573434,-77.7333581
GUADUAS,5.0674669,-74.5950774
SAN JOAQUIN,4.7935994,-75.7381414743551
TUCHIN,8.5541221,-75.8526073
CHACHAGUI,1.3591286,-77.2826965
JAMUNDI,3.2618357,-76.5407975
CHINACOTA,7.6084113,-72.6002682
ENCISO,6.6498446,-72.68173548149151
VENADILLO,4.7190884,-74.929669
ISTMINA,5.1593099,-76.685528
LINARES,1.3516458,-77.5235169
SAN ANTERO,9.373016,-75.7595056
